school_key,identity_quality,redizo,school_name_raw,address_raw,city,postcode,school_type,programme_taxonomy,programme_identity,classification_quality,canonical_source_id,school_name_source_id,address_source_id,city_source_id,postcode_source_id,provenance_count,provenance_sources
redizo:691004048,redizo,691004048,SŠ Sion High School,"Na Kotli 1201, Hradec Králové, 50009",Hradec Králové,500 09,GY4,GY4,GY4,authoritative_programme_group16,jpz_2022_historic_vysledky,jpz_2017_historic_vysledky,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,30,jpz_2017_historic_vysledky|jpz_2018_historic_vysledky|jpz_2019_historic_vysledky|jpz_2020_historic_vysledky|jpz_2022_historic_vysledky|jpz_2023_historic_vysledky|jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky|jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky|jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky|mz_2016_j|mz_2016_jap|mz_2017_j|mz_2017_jap|mz_2018_j|mz_2018_jap|mz_2019_j|mz_2019_jap|mz_2020_j|mz_2020_jap|mz_2021_j|mz_2021_jap|mz_2022_j|mz_2022_jap|mz_2023_j|mz_2023_jap|mz_2024_j|mz_2024_jap|mz_2025_j|mz_2025_jap|mz_2026_j
redizo:691004960,redizo,691004960,"Střední škola film., mult. a poč. tech.","Filmová 174, Zlín, 76001",Zlín,760 01,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,mz_2017_j,jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky,mz_2017_j,mz_2017_j,mz_2017_j,22,jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky|jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky|jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky|mz_2017_j|mz_2017_jap|mz_2018_j|mz_2018_jap|mz_2019_j|mz_2019_jap|mz_2020_j|mz_2020_jap|mz_2021_j|mz_2021_jap|mz_2022_j|mz_2022_jap|mz_2023_j|mz_2023_jap|mz_2024_j|mz_2024_jap|mz_2025_j|mz_2025_jap|mz_2026_j
redizo:691005265,redizo,691005265,"MŠ Montessori Beroun, ZŠ a SŠ s.r.o.",,,,UNKNOWN,UNKNOWN,UNKNOWN,unknown,jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky,jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky,,,,2,jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky|jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky
redizo:691005559,redizo,691005559,SPŠ elektrotechnická a VOŠ,"Karla IV. 13, Pardubice, 53002",Pardubice,530 02,SOS_TECHNICAL,SOS_TECHNICAL,SOS_TECHNICAL,authoritative_programme_group16,jpz_2021_historic_vysledky,jpz_2017_historic_vysledky,jpz_2021_historic_vysledky,jpz_2021_historic_vysledky,jpz_2021_historic_vysledky,31,jpz_2017_historic_vysledky|jpz_2018_historic_vysledky|jpz_2019_historic_vysledky|jpz_2020_historic_vysledky|jpz_2021_historic_vysledky|jpz_2022_historic_vysledky|jpz_2023_historic_vysledky|jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky|jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky|jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky|mz_2016_j|mz_2016_jap|mz_2017_j|mz_2017_jap|mz_2018_j|mz_2018_jap|mz_2019_j|mz_2019_jap|mz_2020_j|mz_2020_jap|mz_2021_j|mz_2021_jap|mz_2022_j|mz_2022_jap|mz_2023_j|mz_2023_jap|mz_2024_j|mz_2024_jap|mz_2025_j|mz_2025_jap|mz_2026_j
redizo:691005648,redizo,691005648,Waldorfská ZŠ a SŠ Dobromysl z.ú.,"Husova 1126, Plzeň, 30100",Plzeň,301 00,LYC,UNKNOWN,UNKNOWN,authoritative_programme_group16,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,6,jpz_2022_historic_vysledky|jpz_2023_historic_vysledky|jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky|jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky|jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky|mz_2026_j
redizo:691006199,redizo,691006199,Církevní gymnázium,"Jiřího z Poděbrad 288, Kutná Hora, 28401",Kutná Hora,284 01,GY8,GY8,GY8,authoritative_programme_group16,jpz_2021_historic_vysledky,jpz_2017_historic_vysledky,jpz_2021_historic_vysledky,jpz_2021_historic_vysledky,jpz_2021_historic_vysledky,31,jpz_2017_historic_vysledky|jpz_2018_historic_vysledky|jpz_2019_historic_vysledky|jpz_2020_historic_vysledky|jpz_2021_historic_vysledky|jpz_2022_historic_vysledky|jpz_2023_historic_vysledky|jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky|jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky|jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky|mz_2016_j|mz_2016_jap|mz_2017_j|mz_2017_jap|mz_2018_j|mz_2018_jap|mz_2019_j|mz_2019_jap|mz_2020_j|mz_2020_jap|mz_2021_j|mz_2021_jap|mz_2022_j|mz_2022_jap|mz_2023_j|mz_2023_jap|mz_2024_j|mz_2024_jap|mz_2025_j|mz_2025_jap|mz_2026_j
redizo:691006270,redizo,691006270,Základní škola a gymnázium,"Mokrá-Horákov 61, 66404",Mokrá-Horákov,664 04,GY4,GY4,GY4,authoritative_programme_group16,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,jpz_2023_historic_vysledky,jpz_2022_historic_vysledky,10,jpz_2022_historic_vysledky|jpz_2023_historic_vysledky|jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky|jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky|jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky|mz_2024_j|mz_2024_jap|mz_2025_j|mz_2025_jap|mz_2026_j
redizo:691006474,redizo,691006474,ZŠ a SŠ JEDNA RADOST,"Školní 73, Pňov-Předhradí, 28941",Pňov-Předhradí,289 41,LYC,LYC,LYC,authoritative_programme_group16,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,7,jpz_2022_historic_vysledky|jpz_2023_historic_vysledky|jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky|jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky|mz_2025_j|mz_2025_jap|mz_2026_j
redizo:691006521,redizo,691006521,Hořické gymnázium,"Blahoslavova 2105, Hořice, 50801",Hořice,508 01,GY4,GY4,GY4,authoritative_programme_group16,jpz_2021_historic_vysledky,jpz_2017_historic_vysledky,jpz_2021_historic_vysledky,jpz_2021_historic_vysledky,jpz_2021_historic_vysledky,29,jpz_2017_historic_vysledky|jpz_2018_historic_vysledky|jpz_2019_historic_vysledky|jpz_2020_historic_vysledky|jpz_2021_historic_vysledky|jpz_2022_historic_vysledky|jpz_2023_historic_vysledky|jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky|jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky|jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky|mz_2017_j|mz_2017_jap|mz_2018_j|mz_2018_jap|mz_2019_j|mz_2019_jap|mz_2020_j|mz_2020_jap|mz_2021_j|mz_2021_jap|mz_2022_j|mz_2022_jap|mz_2023_j|mz_2023_jap|mz_2024_j|mz_2024_jap|mz_2025_j|mz_2025_jap|mz_2026_j
redizo:691006989,redizo,691006989,Střední zahradnická škola a SOU s.r.o.,"Veleslavínská 282, Praha, 16200",Praha,162 00,SOS_AGRICULTURAL,SOS_AGRICULTURAL,SOS_AGRICULTURAL,authoritative_programme_group16,jpz_2021_historic_vysledky,jpz_2017_historic_vysledky,jpz_2021_historic_vysledky,jpz_2021_historic_vysledky,jpz_2021_historic_vysledky,31,jpz_2017_historic_vysledky|jpz_2018_historic_vysledky|jpz_2019_historic_vysledky|jpz_2020_historic_vysledky|jpz_2021_historic_vysledky|jpz_2022_historic_vysledky|jpz_2023_historic_vysledky|jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky|jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky|jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky|mz_2016_j|mz_2016_jap|mz_2017_j|mz_2017_jap|mz_2018_j|mz_2018_jap|mz_2019_j|mz_2019_jap|mz_2020_j|mz_2020_jap|mz_2021_j|mz_2021_jap|mz_2022_j|mz_2022_jap|mz_2023_j|mz_2023_jap|mz_2024_j|mz_2024_jap|mz_2025_j|mz_2025_jap|mz_2026_j
redizo:691007039,redizo,691007039,ZŠ a gymnázium Livingston s.r.o.,,,,GY4,GY4,GY4,authoritative_kkov_duration,jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky,jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky,,,,3,jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky|jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky|jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky
redizo:691007080,redizo,691007080,"Gymnázium International a SOŠ, s.r.o.","Laudova 1024, Praha, psč 16 300",Praha,163 00,GY4,NASTAVBA_OTHER,NASTAVBA_OTHER,authoritative_programme_group16,jpz_2017_historic_vysledky,jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky,jpz_2017_historic_vysledky,mz_2016_j,mz_2016_j,14,jpz_2017_historic_vysledky|jpz_2018_historic_vysledky|jpz_2019_historic_vysledky|jpz_2020_historic_vysledky|jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky|jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky|jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky|mz_2016_j|mz_2016_jap|mz_2017_j|mz_2017_jap|mz_2018_j|mz_2018_jap|mz_2019_jap
redizo:691007144,redizo,691007144,"Technické gymnázium, ZŠ a MŠ VŠTE s.r.o.",,,,GY4,GY4,GY4,authoritative_kkov_duration,jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky,jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky,,,,1,jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky
redizo:691007551,redizo,691007551,Gymnázium Pacov,"Hronova 1079, Pacov, 39501",Pacov,395 01,GY6,GY6,GY6,authoritative_programme_group16,jpz_2021_historic_vysledky,jpz_2017_historic_vysledky,jpz_2021_historic_vysledky,jpz_2021_historic_vysledky,jpz_2021_historic_vysledky,31,jpz_2017_historic_vysledky|jpz_2018_historic_vysledky|jpz_2019_historic_vysledky|jpz_2020_historic_vysledky|jpz_2021_historic_vysledky|jpz_2022_historic_vysledky|jpz_2023_historic_vysledky|jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky|jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky|jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky|mz_2016_j|mz_2016_jap|mz_2017_j|mz_2017_jap|mz_2018_j|mz_2018_jap|mz_2019_j|mz_2019_jap|mz_2020_j|mz_2020_jap|mz_2021_j|mz_2021_jap|mz_2022_j|mz_2022_jap|mz_2023_j|mz_2023_jap|mz_2024_j|mz_2024_jap|mz_2025_j|mz_2025_jap|mz_2026_j
redizo:691008167,redizo,691008167,ZŠ a SŠ Donum Felix s.r.o.,"Petra Bezruče 3087, Kladno, 27201",Kladno,272 01,LYC,LYC,LYC,authoritative_programme_group16,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,13,jpz_2022_historic_vysledky|jpz_2023_historic_vysledky|jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky|jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky|jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky|mz_2022_j|mz_2022_jap|mz_2023_jap|mz_2024_j|mz_2024_jap|mz_2025_j|mz_2025_jap|mz_2026_j
redizo:691008426,redizo,691008426,"Heřmánek Praha, ZŠ a Gym.","Rajmonova 1199/4, Praha 8 - Ládví, 18200",,182 00,GY4,GY4,GY4,unknown,jpz_2023_historic_vysledky,jpz_2023_historic_vysledky,jpz_2023_historic_vysledky,,jpz_2023_historic_vysledky,4,jpz_2023_historic_vysledky|jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky|jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky|jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky
redizo:691008914,redizo,691008914,Střední prům. škola TOS VARNSDORF s.r.o.,"Říční 1774, Varnsdorf, 40747",Varnsdorf,407 47,SOS_TECHNICAL,SOU_TECHNICAL,SOU_TECHNICAL,authoritative_programme_group16,jpz_2022_historic_vysledky,jpz_2017_historic_vysledky,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,jpz_2022_historic_vysledky,22,jpz_2017_historic_vysledky|jpz_2018_historic_vysledky|jpz_2019_historic_vysledky|jpz_2020_historic_vysledky|jpz_2022_historic_vysledky|jpz_2023_historic_vysledky|jpz_2024_kolo1_prihlasky+jpz_2024_kolo1_kapacity+jpz_2024_kolo1_vysledky|jpz_2025_kolo1_prihlasky+jpz_2025_kolo1_kapacity+jpz_2025_kolo1_vysledky|jpz_2026_kolo1_prihlasky+jpz_2026_kolo1_kapacity+jpz_2026_kolo1_vysledky|mz_2020_j|mz_2020_jap|mz_2021_j|mz_2021_jap|mz_2022_j|mz_2022_jap|mz_2023_j|mz_2023_jap|mz_2024_j|mz_2024_jap|mz_2025_j|mz_2025_jap|mz_2026_j
