school_key,identity_quality,redizo,school_name_raw,address_raw,city,postcode,school_type,programme_taxonomy,programme_identity,classification_quality,programme_group_raw,programme_group_16_raw,kkov_raw,programme_name_raw,programme_focus_raw,component,mean_mz_score_pct,mean_mz_candidates,max_mz_candidates,mz_school_mean_percentile,mz_school_mean_percentile_method,mz_school_mean_percentile_reference,mean_mz_participation_rate_vs_cj,n_years,first_year,last_year,slope_per_year,slope_mz_mean_score_pct_per_year,slope_mz_school_mean_percentile_per_year
redizo:600001873,redizo,600001873,"Gymnázium a Hudební škola hl.m.Prahy,ZUŠ","Komenského náměstí 400, Praha, 13000",Praha,130 00,GY8,GY8,GY8,authoritative_programme_group16,GY8,GY8,,,,M,73.60396825396825,8.571428571428571,12.0,79.08296019523898,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=M,0.26256783749668,11,2016,2026,-1.2007342143906863,-1.2007342143906863,-3.1254343375044598
redizo:600004520,redizo,600004520,Obchodní akademie Dušní,"Dušní 1083, Praha, 11000",Praha,110 00,LYC,LYC,LYC,authoritative_programme_group16,LYC,LYC,,,,AJ,87.56173623462301,36.09090909090909,48.0,74.70413670097805,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,0.8049538192667277,11,2016,2026,0.3172384513433422,0.3172384513433422,0.10943159796329634
redizo:600004520,redizo,600004520,Obchodní akademie Dušní,"Dušní 1083, Praha, 11000",Praha,110 00,LYC,LYC,LYC,authoritative_programme_group16,LYC,LYC,,,,CJ,72.85796218773578,44.45454545454545,55.0,73.7452990884239,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=CJ,1.0,11,2016,2026,0.46799292452184266,0.46799292452184266,-0.21652736852309665
redizo:600004520,redizo,600004520,Obchodní akademie Dušní,"Dušní 1083, Praha, 11000",Praha,110 00,LYC,LYC,LYC,authoritative_programme_group16,LYC,LYC,,,,M,59.869004329004326,8.0,12.0,51.48623760781199,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=M,0.18439610960637032,11,2016,2026,0.9016240325332197,0.9016240325332197,-0.40335402176192914
redizo:600004520,redizo,600004520,Obchodní akademie Dušní,"Dušní 1083, Praha, 11000",Praha,110 00,SOS_ECONOMIC,SOS_ECONOMIC,SOS_ECONOMIC,authoritative_programme_group16,SEK,SEK,,,,AJ,84.20328910343422,39.36363636363637,48.0,64.3925747918353,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,0.8548638682540838,11,2016,2026,0.6109563683252356,0.6109563683252356,0.6032752849927018
redizo:600004520,redizo,600004520,Obchodní akademie Dušní,"Dušní 1083, Praha, 11000",Praha,110 00,SOS_ECONOMIC,SOS_ECONOMIC,SOS_ECONOMIC,authoritative_programme_group16,SEK,SEK,,,,CJ,68.08268364170218,46.09090909090909,54.0,62.25379737534763,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=CJ,1.0,11,2016,2026,1.0264762752561232,1.0264762752561232,0.758969696033344
redizo:600004520,redizo,600004520,Obchodní akademie Dušní,"Dušní 1083, Praha, 11000",Praha,110 00,SOS_ECONOMIC,SOS_ECONOMIC,SOS_ECONOMIC,authoritative_programme_group16,SEK,SEK,,,,M,55.72912801484232,7.285714285714286,11.0,45.75508958368241,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=M,0.1579815119691232,11,2016,2026,0.8634880773002157,0.8634880773002157,-0.6074700632529623
redizo:600004520,redizo,600004520,Obchodní akademie Dušní,"Dušní 1083, Praha, 11000",Praha,110 00,SOS_TECHNICAL,SOS_TECHNICAL,SOS_TECHNICAL,authoritative_programme_group16,ST1,ST1,,,,AJ,87.3792805710801,16.90909090909091,25.0,74.15243134173818,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,0.8213419037103248,11,2016,2026,0.3047656725369551,0.3047656725369551,-0.0021128206111512737
redizo:600004520,redizo,600004520,Obchodní akademie Dušní,"Dušní 1083, Praha, 11000",Praha,110 00,SOS_TECHNICAL,SOS_TECHNICAL,SOS_TECHNICAL,authoritative_programme_group16,ST1,ST1,,,,CJ,66.76197451671136,20.454545454545453,28.0,58.152406712922556,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=CJ,1.0,11,2016,2026,1.3376526631263423,1.3376526631263423,1.6495674333749804
redizo:600004520,redizo,600004520,Obchodní akademie Dušní,"Dušní 1083, Praha, 11000",Praha,110 00,SOS_TECHNICAL,SOS_TECHNICAL,SOS_TECHNICAL,authoritative_programme_group16,ST1,ST1,,,,M,54.428571428571445,7.0,7.0,46.926911425490715,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=M,0.28044871794871795,11,2016,2026,0.41269841269841434,0.41269841269841434,-1.0535957691476878
